Training Accuracy	Testing Accuracy
3.006	4.24
6.3	8.61
10.732	13.55
14.954	17.1
18.994	20.169999999999998
22.088	23.25
25.352000000000004	25.569999999999997
27.945999999999998	27.93
30.272	30.159999999999997
32.338	31.1
34.304	33.650000000000006
36.116	35.75
37.676	36.46
39.604	37.86
40.758	38.01
42.722	38.379999999999995
43.66	40.73
45.116	40.93
46.216	42.76
47.202	43.0
48.386	43.57
49.862	44.43
50.751999999999995	44.72
51.361999999999995	44.42
52.593999999999994	45.989999999999995
53.37	45.379999999999995
54.315999999999995	46.62
54.93599999999999	46.660000000000004
55.726	47.28
56.676	47.54
57.147999999999996	46.88
57.940000000000005	47.92
59.006	48.84
59.732	49.57
60.268	49.480000000000004
61.044	49.94
61.67399999999999	50.23
62.21	48.89
62.832	49.72
63.244	50.6
64.078	48.71
64.794	50.580000000000005
65.288	50.629999999999995
65.976	51.080000000000005
66.548	51.849999999999994
67.25999999999999	50.3
67.53	51.349999999999994
67.894	51.83
68.66600000000001	51.33
69.408	51.66
70.088	51.54
70.186	51.949999999999996
70.768	51.239999999999995
70.998	52.49
71.86399999999999	51.370000000000005
72.084	52.6
72.87599999999999	51.910000000000004
73.024	52.22
73.664	52.81
74.1	52.449999999999996
74.614	52.23
75.22999999999999	52.2
75.568	52.76
75.73	52.81
76.29	53.239999999999995
76.614	52.410000000000004
77.158	53.1
77.568	52.910000000000004
77.774	53.11
78.122	53.26
78.386	52.88
78.944	53.290000000000006
79.51	53.5
79.762	53.65
80.172	52.839999999999996
80.39	53.7
80.64	53.13
81.002	53.02
81.144	53.6
81.842	53.510000000000005
81.82199999999999	53.47
82.13000000000001	53.28000000000001
82.622	53.28000000000001
83.136	53.900000000000006
83.084	54.16
83.404	53.68000000000001
83.746	53.1
83.91199999999999	53.55
84.332	53.81
84.584	53.400000000000006
84.97	53.09
85.02	53.55
85.05	53.669999999999995
85.346	53.790000000000006
86.038	53.510000000000005
85.956	53.87
86.046	53.54
86.272	53.11
86.55199999999999	53.86
86.738	53.849999999999994
86.976	52.78
87.262	53.52
87.464	53.669999999999995
87.5	53.7
87.742	53.37
87.94800000000001	54.21
88.226	53.74
88.26	53.99
88.38000000000001	54.11
88.264	54.02
89.0	53.959999999999994
88.93799999999999	53.76
89.14999999999999	53.949999999999996
89.452	54.33
89.496	53.879999999999995
89.506	54.21
89.668	54.290000000000006
89.69200000000001	54.03
89.858	53.779999999999994
90.044	54.09
90.5	53.89000000000001
90.596	54.779999999999994
90.46	54.190000000000005
90.384	54.620000000000005
90.848	54.43
90.908	54.620000000000005
90.854	53.949999999999996
91.176	54.08
91.256	54.17999999999999
91.24	53.83
91.208	53.839999999999996
91.366	54.010000000000005
91.506	54.44
91.652	54.49
91.928	54.14
91.922	53.769999999999996
91.778	54.76
92.084	53.86
92.086	54.36
92.192	54.63
92.13	54.48
92.31	54.010000000000005
92.438	54.339999999999996
92.562	53.910000000000004
92.636	54.09
92.584	54.949999999999996
92.91	54.620000000000005
92.804	53.64
93.066	54.67999999999999
92.906	53.82
92.97800000000001	54.459999999999994
92.898	54.36
93.038	54.71
93.078	54.52
93.282	54.39000000000001
93.366	53.93
93.35	54.379999999999995
93.216	54.56999999999999
93.694	54.230000000000004
93.404	53.790000000000006
93.72	53.99
93.574	54.120000000000005
93.616	54.85
93.91199999999999	55.13
93.786	54.32
93.89	54.54
93.946	54.42
94.026	54.510000000000005
94.27799999999999	54.67999999999999
94.16799999999999	54.300000000000004
94.102	54.66
94.336	54.25
94.408	54.52
94.33200000000001	54.510000000000005
94.32000000000001	54.059999999999995
94.478	54.190000000000005
94.392	54.620000000000005
94.464	54.05
94.6	53.949999999999996
94.426	54.44
94.652	54.82
94.858	54.24
94.636	54.84
94.674	55.269999999999996
94.77	53.790000000000006
94.876	54.81
94.94	54.52
94.94399999999999	54.39000000000001
94.97	54.7
94.93599999999999	54.81
94.848	54.43
95.028	54.96
95.126	54.65
95.27600000000001	54.72
95.318	54.97
95.242	54.15
95.136	54.339999999999996
95.26	54.16
95.16	54.43
95.36200000000001	54.230000000000004
