Model Name,Epoch,Batch Size,Learning Rate,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Time
RN50_clip_FC_FF_NN,0,128,0.002,0.5151323078919554,0.415458388343642,82.176,84.98,27.320732593536377
RN50_clip_FC_FF_NN,1,128,0.002,0.3617274483756336,0.3570172183121307,87.47399999999999,87.37,59.707812786102295
RN50_clip_FC_FF_NN,2,128,0.002,0.3325932415016472,0.3565133662917946,88.41,87.63,92.21320271492004
RN50_clip_FC_FF_NN,3,128,0.002,0.3111050600743354,0.3435571906687338,89.212,87.85,124.70740246772766
RN50_clip_FC_FF_NN,4,128,0.002,0.2919291408775407,0.3339434556568725,89.68,88.41,157.30738377571106
RN50_clip_FC_FF_NN,5,128,0.002,0.2780688388077804,0.3354776786475242,90.148,88.36,190.27034497261047
RN50_clip_FC_FF_NN,6,128,0.002,0.2593151663270447,0.327212483256678,90.788,88.67,223.56085085868835
RN50_clip_FC_FF_NN,7,128,0.002,0.2428335430829421,0.3471800756605365,91.298,88.07000000000001,257.038120508194
RN50_clip_FC_FF_NN,8,128,0.002,0.2287908021332053,0.3432002290140224,91.874,88.39,290.4493918418884
RN50_clip_FC_FF_NN,9,128,0.002,0.2137222238208936,0.3400253355503082,92.418,88.62,323.7204728126526
RN50_clip_FC_FF_NN,10,128,0.002,0.1967634759709963,0.3690024255951749,93.0,87.62,356.33778047561646
RN50_clip_FC_FF_NN,11,128,0.002,0.1819191055319955,0.3528598422491097,93.406,88.42,389.0671026706696
RN50_clip_FC_FF_NN,12,128,0.002,0.1682293332941696,0.3510197699069977,93.974,88.88000000000001,421.5326163768768
RN50_clip_FC_FF_NN,13,128,0.002,0.1546670842506086,0.4064704764492904,94.354,88.08,454.0297291278839
RN50_clip_FC_FF_NN,14,128,0.002,0.1412448467558149,0.391296236386782,94.84,88.51,486.6925928592682
RN50_clip_FC_FF_NN,15,128,0.002,0.1250315919766188,0.402888597472559,95.406,88.37,519.4385192394257
RN50_clip_FC_FF_NN,16,128,0.002,0.1124002334025814,0.4370768609680707,95.912,88.03999999999999,551.9991326332092
RN50_clip_FC_FF_NN,17,128,0.002,0.1024848961121285,0.4264029470048373,96.246,88.59,584.6147260665894
RN50_clip_FC_FF_NN,18,128,0.002,0.0924640480819565,0.4612000480860094,96.602,87.83999999999999,617.2483978271484
RN50_clip_FC_FF_NN,19,128,0.002,0.0817952361386602,0.4910017085980765,97.038,88.44999999999999,650.027779340744
RN50_clip_FC_FF_NN,20,128,0.002,0.077386365360235,0.5117949571790574,97.182,88.59,682.6978919506073
RN50_clip_FC_FF_NN,21,128,0.002,0.0702487425664273,0.5278784061157251,97.446,88.29,715.2561883926392
RN50_clip_FC_FF_NN,22,128,0.002,0.0656527330374816,0.5673635839661465,97.61,87.89,748.0075898170471
RN50_clip_FC_FF_NN,23,128,0.002,0.0612170991256756,0.5427221435157559,97.81,88.29,780.576818227768
RN50_clip_FC_FF_NN,24,128,0.002,0.0488738228276352,0.6300664051801343,98.27,88.06,813.278706073761
RN50_clip_FC_FF_NN,25,128,0.002,0.0568145189215155,0.6186069970643973,97.854,88.24,845.9839057922363
RN50_clip_FC_FF_NN,26,128,0.002,0.043147153876093,0.6433067840488651,98.434,87.92999999999999,878.5717222690582
RN50_clip_FC_FF_NN,27,128,0.002,0.0451128390793929,0.5983737088456939,98.356,88.55,911.1052470207214
RN50_clip_FC_FF_NN,28,128,0.002,0.0470681201882155,0.627708338861224,98.324,87.92,943.8746592998504
RN50_clip_FC_FF_NN,29,128,0.002,0.0408179495421707,0.6440122308610361,98.55,88.46000000000001,976.3564085960388
RN50_clip_FC_FF_NN,30,128,0.002,0.0339997943063192,0.761866689671444,98.77,87.67,1009.2175168991088
RN50_clip_FC_FF_NN,31,128,0.002,0.0399824746770074,0.7027863786567615,98.53,88.53,1041.7896897792816
RN50_clip_FC_FF_NN,32,128,0.002,0.0314350688765706,0.7010973073259185,98.904,88.31,1074.1562051773071
RN50_clip_FC_FF_NN,33,128,0.002,0.0336849498610152,0.6904516997216623,98.804,87.78,1106.7756292819977
RN50_clip_FC_FF_NN,34,128,0.002,0.0308702265893768,0.7584803956973402,98.896,88.1,1139.48557806015
RN50_clip_FC_FF_NN,35,128,0.002,0.0253185438831239,0.8239554283739645,99.084,87.75,1172.1368401050568
RN50_clip_FC_FF_NN,36,128,0.002,0.035628961329527,0.775119577404819,98.706,87.91,1204.8307909965515
RN50_clip_FC_FF_NN,37,128,0.002,0.029969527890496,0.7726373000989987,98.982,88.37,1237.2654778957367
RN50_clip_FC_FF_NN,38,128,0.002,0.0275514375350242,0.8067829284486892,99.004,88.11,1269.8924803733826
RN50_clip_FC_FF_NN,39,128,0.002,0.0266649853667396,0.8166423160818559,99.038,88.12,1302.6158361434937
RN50_clip_FC_FF_NN,40,128,0.002,0.033372491037192,0.7939449375844561,98.826,88.03,1335.3256998062134
RN50_clip_FC_FF_NN,41,128,0.002,0.0209655717582158,0.8198634065404723,99.274,88.16000000000001,1368.049952507019
RN50_clip_FC_FF_NN,42,128,0.002,0.018846827043343,0.8312125187131423,99.346,87.97,1400.7739684581757
RN50_clip_FC_FF_NN,43,128,0.002,0.0378929318552312,0.8447271072411839,98.7,87.86,1433.4828042984009
RN50_clip_FC_FF_NN,44,128,0.002,0.0159232478292273,0.8538791733452037,99.424,88.36,1466.2235219478607
RN50_clip_FC_FF_NN,45,128,0.002,0.0241016982985354,0.8916677376137504,99.142,88.12,1498.9337158203125
RN50_clip_FC_FF_NN,46,128,0.002,0.0284385819598744,0.8840302879202969,99.054,87.72999999999999,1531.595210313797
RN50_clip_FC_FF_NN,47,128,0.002,0.0304059918749246,0.8590412651058994,98.944,88.03,1564.2844259738922
RN50_clip_FC_FF_NN,48,128,0.002,0.0165522881146982,0.9199931016073952,99.438,87.88,1596.7584583759308
RN50_clip_FC_FF_NN,49,128,0.002,0.0247953386978505,0.862128996019122,99.14,87.87,1629.9683289527893
